id,japaneseName,family,photo,dateTaken,placeName,latitude,longitude,prefecture,country,individualType,memo,speciesGroupID
26,シジュウカラ,シジュウカラ科,/写真保管フォルダ/シジュウカラ_1_20260305_京都御苑.jpg,2026/3/5,京都御苑,35.0253,135.7621,京都府,日本,,,シジュウカラ
27,シジュウカラ,シジュウカラ科,/写真保管フォルダ/シジュウカラ_2_20260214_網走.jpg,2026/2/14,網走湖畔,44.00786,144.22555,北海道,日本,,,シジュウカラ
28,シノリガモ,カモ科,/写真保管フォルダ/シノリガモ_1_20260213_網走.jpg,2026/2/13,網走港,44.0206,144.2733,北海道,日本,成鳥メス,,シノリガモ
29,シノリガモ,カモ科,/写真保管フォルダ/シノリガモ_2_20260213_網走.jpg,2026/2/13,網走港,44.0206,144.2733,北海道,日本,成鳥メス,,シノリガモ
30,シマエナガ,エナガ科,/写真保管フォルダ/シマエナガ_1_20260212_根室.jpg,2026/2/12,シラルトロ沼,43.18184389,144.5014144,北海道,日本,,,シマエナガ
31,シメ,アトリ科,/写真保管フォルダ/シメ_1_20260305_京都御苑.jpg,2026/3/5,京都御苑,35.0253,135.7621,京都府,日本,,バードパス,シメ
32,シロハラゴジュウカラ,ゴジュウカラ科,/写真保管フォルダ/シロハラゴジュウカラ_1_20260212_根室.jpg,2026/2/12,シラルトロ沼,43.18184389,144.5014144,北海道,日本,,,シロハラゴジュウカラ
33,セグロセキレイ,セキレイ科,/写真保管フォルダ/セグロセキレイ_1_20251111_京都御苑.jpg,2025/11/11,京都御苑,35.0253,135.7621,京都府,日本,,,セグロセキレイ
34,タンチョウ,ツル科,/写真保管フォルダ/タンチョウ_1_20260212_根室.jpg,2026/2/12,シラルトロ沼,43.18184389,144.5014144,北海道,日本,,,タンチョウ
35,チョウゲンボウ,ハヤブサ科,/写真保管フォルダ/チョウゲンボウ_1_20260308_巨椋.jpg,2026/3/8,巨椋,34.91739764,135.7502754,京都府,日本,,,チョウゲンボウ
36,ニュウナイスズメ,スズメ科,/写真保管フォルダ/ニュウナイスズメ_1_20251101_湖北野鳥センター.jpg,2025/11/1,湖北野鳥センター,35.44697721,136.1904383,滋賀県,日本,,,ニュウナイスズメ
37,ノビタキ,ヒタキ科,/写真保管フォルダ/ノビタキ_1_20251101_湖北野鳥センター.jpg,2025/11/1,湖北野鳥センター,35.44697721,136.1904383,滋賀県,日本,,,ノビタキ
38,ハギマシコ,アトリ科,/写真保管フォルダ/ハギマシコ_1_20260212_根室.jpg,2026/2/12,シラルトロ沼,43.18184389,144.5014144,北海道,日本,,,ハギマシコ
39,ハギマシコ,アトリ科,/写真保管フォルダ/ハギマシコ_2_20260212_根室.jpg,2026/2/12,シラルトロ沼,43.18184389,144.5014144,北海道,日本,,,ハギマシコ
40,ハシビロガモ,カモ科,/写真保管フォルダ/ハシビロガモ_1_20251214_鴨川.jpg,2025/12/14,鴨川,35.03082641,135.7717346,京都府,日本,成鳥オス,,ハシビロガモ
41,ハシブトガラ,シジュウカラ科,/写真保管フォルダ/ハシブトガラ_1_20260214_網走.jpg,2026/2/14,網走湖畔,44.00786,144.22555,北海道,日本,,,ハシブトガラ
42,ヒメウ,ウ科,/写真保管フォルダ/ヒメウ_1_20260213_網走.jpg,2026/2/13,網走港,44.0206,144.2733,北海道,日本,,,ヒメウ
43,ホオジロ,ホオジロ科,/写真保管フォルダ/ホオジロ_1_20260112_鵜殿.jpg,2026/1/12,鵜殿,34.85385666,135.6568714,大阪府,日本,成鳥メス,,ホオジロ
44,ホオジロ,ホオジロ科,/写真保管フォルダ/ホオジロ_2_20251101_湖北野鳥センター.jpg,2025/11/1,湖北野鳥センター,35.44697721,136.1904383,滋賀県,日本,成鳥オス,,ホオジロ
45,マガン,カモ科,/写真保管フォルダ/マガン_1_20251101_湖北野鳥センター.jpg,2025/11/1,湖北野鳥センター,35.44697721,136.1904383,滋賀県,日本,,,マガン
